name,count
conflict,552
interest,130
denies,35
says,29
syrian,28
gaza,25
syria,23
new,22
iraq,20
un,18
end,18
claims,17
east,15
mayor,14
us,14
minister,13
ukraine,13
war,13
councillor,13
fears,13
rejects,12
russia,12
council,12
accused,12
middle,11
israel,11
calls,10
report,10
govt,10
china,9
children,9
claim,8
may,8
pm,8
concerns,8
lebanon,8
killed,8
south,7
georgia,7
aceh,7
role,6
nsw,6
wa,6
deal,6
chief,6
aid,6
councillors,6
sudan,6
refugees,5
urged,5
finds,5
mp,5
sri,5
film,5
avoid,5
premier,5
accuses,5
hezbollah,5
resolution,5
continues,5
years,5
warns,5
inquiry,5
declare,5
risk,5
world,5
six,4
yemen,4
advice,4
forces,4
