name,count
threat,3585
fire,372
warned,206
eases,176
bushfire,155
flood,140
warns,130
police,102
says,99
man,92
bomb,90
us,88
new,85
qld,80
terror,70
terrorism,69
death,68
north,66
residents,60
poses,57
faces,53
pose,51
farmers,50
nsw,49
face,49
fears,48
locust,47
still,47
health,46
rain,46
coast,46
public,45
court,45
security,44
despite,44
remains,43
cyclone,42
sydney,42
accused,42
vic,42
legal,40
south,39
looms,39
water,38
homes,37
climate,37
flu,37
change,37
amid,36
strike,36
council,35
industry,35
report,35
disease,33
plays,33
may,32
high,32
say,32
wa,32
australia,32
virus,31
biggest,31
warn,31
tsunami,30
school,30
iraq,30
govt,30
nuclear,30
jobs,29
wary,28
