name,count
us,43
race,38
deal,20
russia,20
treaty,20
nuclear,19
embargo,19
call,15
un,15
korea,15
china,15
coat,13
syria,13
n,12
new,11
iraq,11
report,10
says,10
russian,10
police,10
dealer,9
eu,9
man,8
iran,8
urges,8
trade,8
israel,8
calls,7
warns,7
ship,7
chemical,7
plans,7
indonesia,6
libya,6
obama,6
iraqi,6
plan,6
opens,6
cache,6
australia,6
smuggling,6
theft,6
killed,6
france,5
open,5
claims,5
sales,5
illegal,5
denies,5
lay,5
control,5
ban,5
sign,5
alleged,5
saudi,5
uk,5
gaza,5
end,4
official,4
coast,4
cut,4
amnesty,4
thai,4
suspected,4
found,4
factory,4
court,4
depot,4
regional,4
