name,count
man,874
police,575
killed,407
shark,341
charged,316
us,284
dog,223
woman,223
bomb,210
heart,208
sex,202
court,198
jailed,188
kills,164
victim,154
suicide,152
iraq,150
dead,142
arson,137
injured,132
accused,130
two,130
hospital,115
one,113
says,110
pakistan,110
teen,109
alleged,108
afghan,104
arrested,103
knife,101
dies,97
terrorist,94
sydney,92
fatal,89
three,87
suspected,87
machete,85
car,83
four,83
guilty,83
london,78
investigate,78
soldiers,78
jail,77
terror,76
croc,76
probe,70
new,70
home,68
punch,68
security,68
men,68
rocket,67
claims,67
baghdad,65
taliban,65
school,64
victims,64
bus,62
govt,61
launches,59
axe,58
soldier,58
deadly,58
iraqi,57
stabbing,56
girl,55
suspect,55
