name,count
war,116
unions,52
liberties,38
act,32
libertarians,29
case,28
rights,28
iraq,24
us,23
union,22
laws,20
bill,19
says,16
action,15
police,15
group,14
sex,14
qld,13
syrian,12
g,11
suit,11
govt,11
court,11
call,10
sri,9
fears,9
partnerships,8
law,8
council,8
claims,7
james,7
violence,7
new,7
vote,7
back,7
backs,7
couples,6
warns,6
libertarian,6
gay,6
groups,6
urges,6
face,6
brink,6
questions,6
syria,6
un,6
threat,6
government,6
south,6
considers,6
servant,6
bid,5
yemen,5
thomson,5
former,5
servants,5
urge,5
plan,5
leader,5
contractors,5
opposition,5
family,5
killed,5
cross,5
lawyer,5
iraqi,4
senators,4
first,4
