name,count
us,395
iraq,71
says,67
killed,61
chief,55
korea,52
australia,52
fiji,51
china,50
thai,45
action,44
sri,44
rebels,43
indonesian,40
north,38
base,37
new,35
exercise,35
indonesia,34
plane,33
court,32
australian,30
syria,29
lanka,29
pm,29
coup,28
aid,28
iran,27
south,27
training,27
iraqi,26
defence,26
crash,26
pakistan,26
govt,25
ties,25
war,24
kills,24
japan,24
police,24
dead,23
attack,23
calls,23
troops,22
ban,22
helicopter,21
aceh,21
denies,21
un,20
leader,20
warns,20
commander,20
afghan,20
claims,20
russia,20
talks,19
russian,19
afghanistan,19
ukraine,19
british,18
soldiers,18
trump,18
report,18
aust,18
two,18
presence,17
philippines,17
justice,17
top,17
