name,count
camp,80
deal,60
australia,59
says,48
syrian,48
nauru,44
un,41
intake,39
policy,36
advocates,35
court,33
group,33
resettlement,32
crisis,30
new,29
camps,26
us,25
family,24
former,22
asylum,22
detention,22
trump,21
children,21
island,21
manus,21
advocate,20
protest,20
support,19
high,19
centre,19
iraqi,19
status,18
png,18
world,18
govt,18
day,18
immigration,17
australian,16
malaysia,16
seeks,16
cambodia,16
life,16
rohingya,15
turnbull,15
afghan,15
council,15
sudanese,15
program,14
calls,14
climate,14
african,14
seekers,14
boat,14
call,13
treatment,13
swap,13
numbers,13
dutton,13
sri,13
government,13
students,12
opposition,12
lebanon,12
plan,12
syria,12
report,11
claim,11
fire,11
help,11
