name,count
iraq,396
memorial,296
crimes,262
us,249
world,167
anti,156
says,152
words,136
civil,115
veterans,101
australian,98
bush,80
un,76
erupts,75
veteran,73
games,72
vietnam,70
new,70
pm,64
price,64
protesters,59
dead,57
sri,56
korea,56
post,56
protest,55
report,54
howard,47
syria,46
australia,45
afghan,45
terror,45
police,45
korean,45
waste,44
criminal,44
north,44
warns,44
former,43
court,43
medals,43
accused,41
anzac,41
milk,40
fears,40
declares,39
lanka,38
trial,38
end,38
hero,38
blair,37
day,37
cold,37
crime,37
south,36
govt,36
syrian,34
denies,34
ii,34
afghanistan,33
russia,33
drug,33
gulf,33
honour,33
thousands,33
may,32
calls,32
state,31
protests,31
